PATENTE;AÑO GIRO;AÑO FABRI.;MONTO PAGADO;TIPO PAGO;FECHA PAGO;MODULO ATENCION;TIPO VEHICULO;MARCA;MODELO;COLOR;CODIGO SII
SWZY79;2025;2013;33715;TOTAL;45728;WEB;AUTOMOVIL;SUZUKI ;SWIFT 1.2  AUT ;PLATEADO;SD2290043
SWZY93;2025;2008;33715;TOTAL;45728;WEB;STATION WAGON;TOYOTA;NOAH ;NEGRO;VN1600030
SWZY95;2025;2015;34391;TOTAL;45728;WEB;STATION WAGON;HONDA;FIT ;BLANCO;HB1060029
SXDS66;2025;2020;108021;TOTAL;45728;WEB;TAXI TURISMO;HYUNDAI;SONATA 2.0 AUT ;AZUL;SD1110338
SXFX31;2025;2024;538120;TOTAL;45728;WEB;CAMIONETA;FORD;NEW F150 LARIAT LUXURY CC 4X4 5.0L ;BLANCO OXFORD;CT790183
SXJG60;2025;2010;33715;TOTAL;45728;WEB;STATION WAGON;KIA MOTORS;SPORTAGE ;PLATEADO;SU1320081
SXJH16;2025;2015;40003;TOTAL;45728;WEB;STATION WAGON;HYUNDAI;TUCSON 2.0 AUT ;PLATEADO;SU1110138
SXWD38;2025;2012;33715;TOTAL;45728;WEB;AUTOMOVIL;MAZDA;DEMIO ;GRIS;HB1060026
SYKK25;2025;2014;35446;TOTAL;45728;WEB;STATION WAGON;MAZDA;AXELA ;GRIS;HB1600061
SYPH60;2025;2008;33715;TOTAL;45728;WEB;STATION WAGON;JEEP;COMMANDER ;NEGRO;VN1210018
SYPK16;2025;2011;33715;TOTAL;45728;WEB;AUTOMOVIL;HONDA;CR Z 1.5 AUT ;ROJO;SU1060038
SZKC44;2025;2017;481870;TOTAL;45728;WEB;STATION WAGON;JAGUAR;F PACE 4X4 3.0 AUT ;AZUL;SU1180004
SZKL43;2025;2007;16858;1°Cuota;45728;WEB;STATION WAGON;KIA MOTORS;SPORTAGE 2.0 AUT ;NEGRO;SU1320091
SZKT70;2025;2013;33715;TOTAL;45728;WEB;AUTOMOVIL;MAZDA;DEMIO ;ROJO GUINDO;SD1600177
SZLG85;2025;2024;96328;TOTAL;45728;WEB;CAMIONETA;MAHINDRA;PICK UP  DC 4X4 MT DELUXE ;ROJO;CT1540057
TBLW72;2025;2012;16858;1°Cuota;45728;WEB;AUTOMOVIL;HONDA;FIT 1.3 AUT ;PLATEADO;HB1060024
TBLY19;2025;2009;33715;TOTAL;45728;WEB;STATION WAGON;NISSAN;XTRAI ;ROJO;SU1760184
TBLY60;2025;2009;33715;TOTAL;45728;WEB;STATION WAGON;MITSUBISHI;OUTLANDER ;NEGRO;VN1660040
TBLY86;2025;2016;33715;TOTAL;45728;WEB;AUTOMOVIL;SUZUKI;SWIFT 1.2 ;PLATEADO;SD2290046
TBPB77;2025;2024;76347;TOTAL;45728;WEB;AUTOMOVIL;JAC;JS2 CVT LUXURY 1.5 AUT ;ROJO;SU1170078
TBPB92;2025;2024;111739;TOTAL;45728;WEB;STATION WAGON;CHANGAN;NEW CS35 PLUS 1.4 AT LUX ;PLATEADO PLATA;SU470064
TBPC48;2025;2019;106974;TOTAL;45728;WEB;STATION WAGON;HYUNDAI;SANTA FE 2.0 AUT ;AZUL;SU1110155
TBPC93;2025;2015;33891;TOTAL;45728;Presencial;STATION WAGON;KIA MOTORS;SPORTAGE ;BLANCO;SU1320128
TBTR55;2025;2013;16858;1°Cuota;45728;WEB;AUTOMOVIL;MAZDA;DEMIO 1.3 AUT ;ROJO GUINDO;SD1600177
TBWL18;2025;2024;148053;1°Cuota;45728;WEB;STATION WAGON;KIA MOTORS;SONET EX 1.5L 6MT FULL;ROJO RUBI;SU1320224
TCZJ25;2025;2024;124704;TOTAL;45728;WEB;STATION WAGON;HYUNDAI;CRETA GRAND SU21 ;PLATEADO PLATA;SU1110275
TDGG16;2025;2012;35797;TOTAL;45728;WEB;STATION WAGON;KIA MOTORS;SORENTO ;NEGRO;VN1320106
TDGH80;2025;2012;33715;TOTAL;45728;WEB;CAMIONETA;KIA MOTORS;BONGO III ;AZUL;CT1320052
TDGL48;2025;2012;33715;TOTAL;45728;WEB;AUTOMOVIL;NISSAN;NOTE ;ROJO;SD1760240
TDGS71;2025;2019;163237;TOTAL;45728;WEB;STATION WAGON;JEEP;CHEROKEE TRAILHAWK ;GRIS;SU1210068
TDGT58;2025;2012;33715;TOTAL;45728;WEB;AUTOMOVIL;MAZDA;DEMIO ;BLANCO;SD1600184
TDGT95;2025;2013;33715;TOTAL;45728;WEB;AUTOMOVIL;MAZDA;DEMIO ;AZUL;SD1600177
TDGW24;2025;2013;56571;TOTAL;45728;WEB;STATION WAGON;HYUNDAI;SANTA FE ;AZUL;SU1110124
TDGY17;2025;2018;130521;TOTAL;45728;WEB;STATION WAGON;FORD ;EXPLORER ;BLANCO NEGRO;VN790066
TDHB15;2025;2016;33715;TOTAL;45728;WEB;AUTOMOVIL;MAZDA;DEMIO ;CAFE MARRON;HB1600064
TDHF32;2025;2014;33715;TOTAL;45728;WEB;STATION WAGON;HONDA;FREED ;NEGRO;HB1060026
TDHX70;2025;2020;173731;TOTAL;45728;WEB;STATION WAGON;HYUNDAI;SANTA FE ;NEGRO;SU1110220
TDJT82;2025;2024;209879;TOTAL;45728;WEB;STATION WAGON;HYUNDAI;TUCSON NX4;GRIS GRAFITO;SU1110268
TGC026;2025;2006;33715;TOTAL;45728;WEB;MOTO;HONDA;CBR 600CC ;NEGRO;MT1060196
TGKR62;2025;2016;48116;TOTAL;45728;WEB;CAMIONETA;HYUNDAI ;PORTER II ;BLANCO;CT1110061
TGST95;2025;2016;33715;TOTAL;45728;WEB;AUTOMOVIL;MAZDA;DEMIO ;NEGRO;HB1600064
TGSY97;2025;2015;33715;TOTAL;45728;WEB;AUTOMOVIL;NISSAN;MARCH 1.2 AUT ;BLANCO;HB1760062
TGTB16;2025;2018;33715;TOTAL;45728;WEB;AUTOMOVIL;MAZDA;DEMIO ;GRIS;SD1600229
TGTB87;2025;2010;41769;TOTAL;45728;WEB;AUTOMOVIL;AUDI;TT ;ROJO;SD130081
TGTD64;2025;2014;33715;TOTAL;45728;WEB;STATION WAGON;MAZDA;DEMIO 1.3 ;BLANCO;HB1600058
TGTL79;2025;2012;33715;TOTAL;45728;WEB;AUTOMOVIL;HONDA;FIT ;VIOLETA MORADO;HB1060024
TGTP17;2025;2011;59318;TOTAL;45728;WEB;AUTOMOVIL;MINI;COOPER ;PLATEADO;HB1650008
TJJY42;2025;2014;33715;TOTAL;45728;WEB;STATION WAGON;HONDA;FIT ;CAFE MARRON;HB1060024
TJJY46;2025;2017;64821;TOTAL;45728;WEB;STATION WAGON;INFINITI;QX60 ;NEGRO;SU1130010
TJJZ38;2025;2014;33715;TOTAL;45728;WEB;AUTOMOVIL;HONDA;FIT ;BLANCO;HB1060026
TJJZ60;2025;2025;142453;TOTAL;45728;WEB;STATION WAGON;GREAT WALL;HAVAL JOLION 1.5 AT 2WD DELUXE F2 ;BLANCO;  
TJKB23;2025;2019;167261;TOTAL;45728;WEB;STATION WAGON;KIA MOTORS;CARNIVAL ;PLATEADO;VN1320129
TJKC25;2025;2014;33715;TOTAL;45728;WEB;AUTOMOVIL;SUZUKI;SWIFT 1.3 AUT ;NEGRO;SD2290046
TJKC44;2025;2013;33715;TOTAL;45728;WEB;STATION WAGON;KIA MOTORS;SPORTAGE ;BLANCO;SU1320129
TJKD85;2024;2018;6465;TOTAL;45728;WEB;AUTOMOVIL;HYUNDAI;ACCENT 1.6 AUT ;NEGRO;SD1110257
TJKD85;2025;2018;33715;TOTAL;45728;WEB;AUTOMOVIL;HYUNDAI;ACCENT 1.6 AUT ;NEGRO;SD1110257
TJKF39;2025;2020;180846;TOTAL;45728;WEB;STATION WAGON;KIA MOTORS;SORENTO ;BLANCO;SU1320182
TJKP96;2025;1996;123620;TOTAL;45728;WEB;CAMION;MITSUBISHI;FUSO ;VERDE PETROLEO;  
TJKR52;2025;2013;30905;TOTAL;45728;WEB;STATION WAGON;HONDA;FIT ;NEGRO;HB1060026
TJKR66;2025;2021;66653;1°Cuota;45728;WEB;STATION WAGON;HYUNDAI;TUCSON 2.0 AUT ;GRIS;SU1110265
TJKR93;2025;2010;30905;TOTAL;45728;Presencial;STATION WAGON;HYUNDAI;SANTA FE ;PLATEADO;SU1110069
TLGT73;2025;2014;33715;TOTAL;45728;WEB;AUTOMOVIL;MAZDA;DEMIO ;NEGRO;HB1600058
TLGV34;2025;2014;126033;TOTAL;45728;WEB;AUTOMOVIL;BMW;Z4 ;BLANCO;SD320388
TLGZ54;2025;2015;36735;TOTAL;45728;WEB;STATION WAGON;KIA MOTORS;SPORTAGE 2.0 AUT ;PLATEADO;SU1320122
TLGZ78;2025;2017;32363;TOTAL;45728;WEB;AUTOMOVIL;MAZDA;DEMIO 1.5 AUT ;AZUL;SD1600227
TLHF61;2025;2013;30905;TOTAL;45728;WEB;AUTOMOVIL;SUZUKI;SWIFT ;GRIS;HB2290117
TLHG25;2025;2014;28095;TOTAL;45728;WEB;AUTOMOVIL;SUZUKI;SWIFT 1.3 AUT ;ROJO;HB2290125
TLHG30;2025;2025;100591;TOTAL;45728;Presencial;STATION WAGON;GREAT WALL;HAVAL JOLION DELUXE F2 ;BLANCO TITANIO;  
TLJH82;2025;2014;33715;TOTAL;45728;WEB;STATION WAGON;NISSAN;NOTE 1.2 AUT ;BLANCO;HB1760056
TLJS28;2025;2014;33715;TOTAL;45728;WEB;STATION WAGON;HYUNDAI;I30 ;ROJO BURDEO;HB1110121
TTXL59;2025;2016;87880;TOTAL;45728;WEB;STATION WAGON;KIA MOTORS;CARNIVAL 2.2 AUT ;NEGRO;VN1320110
TWFP35;2025;2014;33715;TOTAL;45728;WEB;STATION WAGON;NISSAN;NOTE ;VIOLETA PURPURA;HB1760056
TYHR88;2025;2019;184629;TOTAL;45728;WEB;STATION WAGON;MAZDA;CX8 2.2 AUT ;GRIS;SU1600085
UL7397;2025;1997;33715;TOTAL;45728;WEB;AUTOMOVIL;HYUNDAI;ELANTRA 1.8;ROJO;SD1110038
UX5914;2025;2002;33715;TOTAL;45728;WEB;CAMIONETA;TOYOTA;HILUX D/C DLX;ROJO;CT2350035
VB6202;2025;1991;33715;TOTAL;45728;WEB;JEEP;MITSUBISHI     ;PAJERO 2.6;AZUL;SU1660002
VB6646;2025;1993;33715;TOTAL;45728;WEB;CAMIONETA;HYUNDAI;PORTER 2.4;AZUL TURQUESA;CT1320001
VF7079;2025;1992;33715;TOTAL;45728;WEB;CAMIONETA;HYUNDAI;PORTER 2.5 CC.;CELESTE;CT1320001
VL4291;2025;1991;33715;TOTAL;45728;WEB;STATION WAGON;NISSAN;TERRANO 4WD;AZUL ELECTRICO;SU1760016
VN7709;2025;1996;33715;TOTAL;45728;WEB;JEEP;NISSAN;MISTRAL;AZUL DORADO;SU1760049
VRY096;2021;2010;30905;TOTAL;45728;WEB;MOTO;KAWASAKI;NINJA 250 ;AZUL;MT1270166
VRY096;2022;2010;41492;TOTAL;45728;WEB;MOTO;KAWASAKI;NINJA 250 ;AZUL;MT1270166
VRY096;2023;2010;39126;TOTAL;45728;WEB;MOTO;KAWASAKI;NINJA 250 ;AZUL;MT1270166
